436,-54.5,1.77,4.53,1.84,0,1.31
437,-54.8,1.48,4.26,2.09,0,2.81
438,-53.4,2,5.04,2.01,0,2.31
439,-50,1.59,5.1,1.66,0,4.44
440,-48.4,1.89,5.4,1.62,0,3.06
441,-51.7,1.56,4.76,2.1,0,2.38
442,-52.9,1.52,4.64,2.03,0,1.38
443,-54.1,1.44,4.5,1.74,0,2.06
444,-55.7,1.35,3.92,1.83,0,2.31
445,-54.6,1.37,3.91,1.82,0,1
446,-57.2,1.52,3.27,1.57,0,0.56
447,-56.5,1.44,4.06,1.83,0,0.56
448,-54.5,1.67,4.11,1.83,0,0.56
449,-53,1.54,4.55,1.79,0,0.56
450,-54.2,1.56,4.5,1.63,0,0.56
451,-54.1,1.59,4.08,1.99,0,1
452,-51,1.48,4.24,1.76,0,0.44
453,-44.7,1.85,3.69,1.64,0.13,1.88
454,-44.4,1.91,4.45,1.59,0.5,3.25
455,-41,1.59,4.27,1.5,0.38,3.81
456,-41.6,1.42,4.84,1.47,0.13,1.75
457,-39.4,1.98,3.42,1.13,0.5,1.63
458,-47.1,1.85,4.42,1.46,0.38,2.19
459,-47.5,2.05,5.16,1.22,0,1.25
460,-51.3,1.44,4.7,1.72,0,0.81
461,-45.1,1.78,5.65,1.09,0,2.56
462,-42.1,2.5,5.82,0.77,0,1.63
463,-42.4,2.51,5.63,1,0,0.63
464,-40.2,4.83,5.64,0.52,0,1.19
465,-41.6,4.94,5.76,0.58,0,1
466,-44.1,1.93,5.59,0.87,0,0.69
467,-41.8,2.68,5.47,0.9,0,1.38
468,-41.2,1.78,5.69,0.69,0,1.63
469,-43,3.45,5.64,0.74,0,4.06
470,-43.7,1.89,5.44,1.02,0,3.44
471,-43.2,1.85,5.24,0.97,0,3.94
472,-45.1,1.27,5.51,1.04,0,3.44
473,-43.4,2.58,5.46,0.95,0,4.13
474,-45.2,1.75,5.48,0.91,0,2.69
475,-43.8,2.41,5.49,1.01,0,2.25
476,-45.8,1.63,5.57,0.97,0,1.38
477,-46.1,2.46,5.25,1.08,0,2.38
478,-46.1,1.6,5.06,1.21,0,1.88
479,-47.7,2.08,4.82,1.36,0,1.31
480,-48.3,1.85,5.04,1.48,0,1.06
481,-48.7,1.7,4.81,1.33,0,0.5
482,-46,1.52,4.6,0.93,0,0.56
483,-47.7,1.34,4.67,1.26,0,0.44
484,-48.6,1.92,4.54,1.37,0,0.5
485,-47.2,1.75,5.03,1.18,0,1.06
486,-50.3,1.37,4.59,1.43,0,1.06
487,-48.2,1.34,4.56,1.55,0,0.63
488,-47.5,1.8,4.32,1.46,0,0.44
489,-48.9,1.47,4.98,1.62,0,0.69
490,-46.1,1.66,5.04,1.34,0,0.56
491,-47.4,1.91,4.52,1.03,0,0.63
492,-51.1,1.84,4.52,1.63,0,0.5
493,-49.7,1.62,4.57,1.55,0,0.69
494,-46.8,1.62,4.6,1.28,0,1.06
495,-47.8,1.64,4.72,1.26,0,1
496,-51,1.7,4.51,1.36,0,0.44
497,-50,1.59,4.52,1.45,0,0.31
498,-50.7,1.93,4.75,1.49,0,0.63
